125
34.98 -119.33
35.45 -119.94
35.91 -120.44
36.34 -120.90 
36.70 -121.31
37.20 -122.00
37.53 -122.38
37.87 -122.70
38.54 -123.31
39.00 -123.60
39.44 -123.89
39.91 -124.16
40.21 -124.42
40.31 -124.74
40.63 -124.95
40.88 -124.93
41.18 -125.09
41.25 -125.08
41.31 -125.07
41.38 -125.07
41.45 -125.06
41.51 -125.05
41.57 -125.04
41.62 -125.03
41.68 -125.02
41.74 -125.02
41.80 -125.02
41.86 -125.02
41.92 -125.02
41.97 -125.02
42.02 -125.03
42.06 -125.04
42.11 -125.05
42.17 -125.07
42.23 -125.09
42.29 -125.11
42.36 -125.13
42.44 -125.15
42.52 -125.17
42.60 -125.19
42.68 -125.22
42.76 -125.24
42.84 -125.26
42.92 -125.28
43.00 -125.30
43.08 -125.31
43.16 -125.33
43.24 -125.35
43.31 -125.36
43.39 -125.37
43.47 -125.38
43.54 -125.39
43.62 -125.40
43.72 -125.41
43.82 -125.42
43.91 -125.43
44.01 -125.45
44.18 -125.46
44.35 -125.47
44.52 -125.48
44.69 -125.50
44.90 -125.52
45.11 -125.54
45.32 -125.56
45.53 -125.58
45.64 -125.60
45.75 -125.62
45.86 -125.63
45.97 -125.65
46.11 -125.68
46.25 -125.72
46.39 -125.75
46.53 -125.78
46.66 -125.83
46.80 -125.87
46.93 -125.92
47.06 -125.96
47.17 -126.00
47.28 -126.05
47.39 -126.09
47.49 -126.14
47.60 -126.20
47.70 -126.25
47.80 -126.31
47.90 -126.37
47.97 -126.42
48.04 -126.48
48.11 -126.53
48.18 -126.59
48.28 -126.68
48.37 -126.77
48.47 -126.86
48.57 -126.96
48.71 -127.10
48.85 -127.24
48.99 -127.38
49.12 -127.53
49.24 -127.63
49.35 -127.74
49.47 -127.84
49.58 -127.95
49.66 -128.01
49.73 -128.07
49.80 -128.13
49.88 -128.28
50.09 -128.41
50.31 -128.72
50.48 -129.01
50.65 -129.46
50.84 -129.74
51.10 -129.98
51.28 -130.21
51.40 -130.55
51.61 -130.85
51.89 -131.18
52.26 -131.59
52.70 -132.17
53.12 -132.71
53.52 -133.09
53.92 -133.43
54.38 -133.84
54.81 -134.15
55.32 -134.67
55.82 -135.18
56.10 -135.43
